YAW,DELTA_YAW,US_3,X,Y,X_S,Y_S
76.698219,,173,173,0,43,0
76.831688,0.133469,174,173.9995279,0.4053280223,43,0
75.385834,-1.445854,174,173.9446013,-4.390408824,43,-2
76.919518,1.533684,170,169.9390997,4.54998863,42,1
76.997795,0.078277,167,166.9998441,0.2281538892,41,0
76.874237,-0.123558,165,164.9996163,-0.3558212205,41,-1
77.068192,0.193955,160,159.9990833,0.5416235017,39,0
77.130951,0.062759,160,159.999904,0.1752561546,39,0
77.11734,-0.013611,160,159.9999955,-0.03800908196,39,-1
77.091919,-0.025421,160,159.9999843,-0.07098882153,39,-1
77.587402,0.495483,160,159.9940173,1.383632312,39,0
77.594398,0.006996,160,159.9999988,0.01953651747,39,0
77.606415,0.012017,160,159.9999965,0.03355779435,39,0
77.646339,0.039924,160,159.9999612,0.1114888311,39,0
77.672798,0.026459,160,159.9999829,0.07388746406,39,0
77.686012,0.013214,160,159.9999957,0.03690044885,39,0
77.705666,0.019654,160,159.9999906,0.05488432071,39,0
77.73085,0.025184,160,159.9999845,0.07032699275,39,0
77.761452,0.030602,159,158.9999773,0.08492279554,39,0
77.737144,-0.024308,159,158.9999857,-0.06745648487,39,-1
77.856041,0.118897,159,158.9996577,0.3299476784,39,0
77.911621,0.05558,159,158.9999252,0.1542385615,39,0
77.875526,-0.036095,159,158.9999684,-0.1001662717,39,-1
77.96183,0.086304,159,158.9998196,0.2394998537,39,0
78.04644,0.08461,159,158.9998266,0.2347988844,39,0
78.04277,-0.00367,159,158.9999997,-0.01018451978,39,-1
78.068916,0.026146,159,158.9999834,0.07255706949,39,0
78.141167,0.072251,159,158.9998736,0.2005017831,39,0
78.196808,0.055641,159,158.999925,0.1544078409,39,0
78.173485,-0.023323,155,154.9999872,-0.06309478518,38,-1
78.146141,-0.027344,155,154.9999823,-0.07397263595,38,-1
78.196259,0.050118,155,154.9999407,0.1355822205,38,0
78.212502,0.016243,155,154.9999938,0.04394154312,38,0
78.253792,0.04129,155,154.9999598,0.1117001898,38,0
78.155113,-0.098679,155,154.9997701,-0.2669522532,38,-1
78.253326,0.098213,155,154.9997723,0.2656916037,38,0
78.239082,-0.014244,155,154.9999952,-0.03853372789,38,-1
78.215965,-0.023117,155,154.9999874,-0.0625375016,38,-1
78.207436,-0.008529,155,154.9999983,-0.02307316536,38,-1
78.193344,-0.014092,155,154.9999953,-0.03812252834,38,-1
78.274567,0.081223,155,154.9998443,0.219729287,38,0
78.20797,-0.066597,153,152.9998966,-0.177837509,38,-1
78.174606,-0.033364,153,152.9999741,-0.08909367767,38,-1
78.281845,0.107239,153,152.999732,0.2863658992,38,0
78.310547,0.028702,153,152.9999808,0.07664449029,38,0
78.337326,0.026779,153,152.9999833,0.07150940062,38,0
78.409386,0.07206,153,152.999879,0.1924256409,38,0
78.465149,0.055763,153,152.9999275,0.148906913,38,0
78.494843,0.029694,153,152.9999795,0.07929348087,38,0
78.533676,0.038833,153,152.9999649,0.1036978395,38,0
78.565109,0.031433,153,152.999977,0.08393722539,38,0
78.498665,-0.066444,149,148.9998998,-0.1727902799,37,-1
78.531311,0.032646,149,148.9999758,0.08489724336,37,0
78.535721,0.00441,149,148.9999996,0.01146838397,37,0
78.516296,-0.019425,149,148.9999914,-0.05051549991,37,-1
