X,Y,Theta,Theta_delta,US1,US2,US3,,,US_X,US_Y
-179,35,-195,0,29,109,110,0.179,0.035,0.179,109.035
-179,34,-191,4,28,108,115,0.358,0.069,0.789998848,108.068136
-179,36,-203,-12,28,108,115,0.537,0.105,-0.7589688962,108.0972241
-179,36,-199,4,29,108,110,0.716,0.141,1.147998848,108.140136
-179,38,-211,-12,29,108,110,0.895,0.179,-0.4009688962,108.1712241
-179,39,-215,-4,29,108,110,1.074,0.218,0.642001152,108.217136
-178,42,-235,-20,29,105,107,1.252,0.26,-0.8478600028,105.2390007
-177,45,-250,-15,28,107,107,1.429,0.305,-0.1759398132,107.2929627
-175,51,-282,-32,27,104,105,1.604,0.356,-1.72343205,104.3027565
-348,112,-310,-28,27,104,105,1.952,0.468,-0.9596195136,104.4272347
-346,120,-334,-24,27,102,100,2.298,0.588,-0.1497649988,102.5586254
-171,64,-362,-28,25,100,121,2.469,0.652,-0.3306341477,100.6128026
-168,71,-398,-36,24,100,100,2.637,0.723,-0.9622224504,100.658207
-335,147,-414,-16,23,97,98,2.972,0.87,1.420066218,97.85758426
-166,76,-430,-16,23,97,98,3.138,0.946,1.586066218,97.93358426
-165,79,-450,-20,22,92,94,3.303,1.025,1.463122664,93.00660061
-162,84,-478,-28,21,108,97,3.465,1.109,0.4413951205,109.0666668
-160,88,-505,-27,21,108,97,3.625,1.197,0.7093542811,109.1576364
-158,92,-529,-24,20,125,96,3.783,1.289,0.7832879917,126.2530017
-312,191,-549,-20,19,117,122,4.095,1.48,1.755155997,118.4566008
-465,292,-561,-12,17,120,95,4.56,1.772,3.12003456,121.7633601
-610,405,-585,-24,17,120,95,5.17,2.177,2.290276472,122.1424417
-302,207,-601,-16,16,110,91,5.472,2.384,3.712075092,112.3699203
-296,215,-629,-28,15,112,94,5.768,2.599,2.632409755,114.5550989
-145,111,-657,-28,15,112,94,5.913,2.71,2.777409755,114.6660989
-142,115,-681,-24,14,104,98,6.055,2.825,3.559239609,106.7950494
-280,236,-701,-20,13,102,88,6.335,3.061,4.295135997,105.0406007
-284,230,-681,20,10,99,107,6.619,3.291,8.598868003,102.2712007
-159,90,-513,168,8,96,104,6.778,3.381,22.83024088,98.02943138
-176,49,-270,243,8,96,104,6.954,3.43,30.05309437,96.60956771
-183,5,-31,239,7,97,83,7.137,3.435,30.09992347,97.6777936
-178,-41,227,258,11,104,104,7.315,3.394,33.85031494,103.9518294
-162,-84,478,251,11,104,104,7.477,3.31,33.30776577,104.0511115
-137,-121,725,247,92,103,55,7.614,3.189,32.79709964,103.0629781
-99,-154,999,274,64,83,53,7.713,3.035,30.17150322,82.93878985
0,0,1250,251,100,54,53,7.713,3.035,21.12512838,55.3428848
-32,-180,1390,140,100,54,53,7.745,2.855,15.28032819,56.3266638
-19,-182,1466,76,74,53,56,7.764,2.673,11.7881235,55.52000966
-11,-182,1509,43,74,51,93,7.775,2.491,9.967324253,53.44385776
-8,-183,1525,16,74,51,93,7.783,2.308,8.598965184,53.30147214
-8,-183,1521,-4,79,50,92,7.791,2.125,7.591000533,52.1246
-11,-182,1509,-12,110,48,91,7.802,1.943,7.226013824,49.93954404
-31,-365,1485,-24,110,48,91,7.833,1.578,6.681110589,49.56417666
-19,-182,1462,-23,108,47,90,7.852,1.396,6.771095306,48.38356905
-23,-181,1442,-20,107,45,50,7.875,1.215,6.975059999,46.2060003
-31,-180,1398,-44,79,43,46,7.906,1.035,6.014610426,43.99338271
-67,-360,1386,-12,77,40,44,7.973,0.675,7.49301152,40.67212003
-72,-359,1370,-16,77,38,42,8.045,0.316,7.437025941,38.3111361
-40,-178,1346,-24,77,38,42,8.085,0.138,7.173087549,38.12705653
-44,-177,1326,-20,74,36,39,8.129,-0.039,7.409047999,35.95380024
-95,-353,1306,-20,111,34,35,8.224,-0.392,7.544045332,33.60120023
-104,-351,1282,-24,111,34,35,8.328,-0.743,7.512078334,33.24720847
-56,-174,1258,-24,70,31,33,8.384,-0.917,7.640071422,30.07407243
-57,-173,1250,-8,68,29,30,8.441,-1.09,8.209002475,27.909072
-61,-172,1231,-19,68,29,30,8.502,-1.262,7.951033151,27.73276566
-63,-172,1219,-12,65,27,27,8.565,-1.434,8.241007776,25.56405602
-130,-342,1207,-12,101,24,25,8.695,-1.776,8.407006912,22.22227202
-69,-169,1179,-28,101,24,25,8.764,-1.945,8.092087805,22.04559261
-145,-336,1163,-16,110,22,22,8.909,-2.281,8.557015018,19.71618406
-227,-500,1143,-20,57,19,19,9.136,-2.781,8.756025333,16.21520013
-159,-329,1119,-24,56,17,16,9.295,-3.11,8.887039167,13.88510424
-165,-327,1103,-16,56,17,16,9.46,-3.437,9.188011605,13.56082405
-85,-161,1083,-20,56,15,14,9.545,-3.598,9.24502,11.3990001
-184,-316,1043,-40,51,12,12,9.729,-3.914,9.24912799,8.07640128
-171,-323,1083,40,50,11,9,9.9,-4.237,10.33988268,6.754201173
-59,-173,1238,155,49,7,6,9.959,-4.41,11.0396607,2.506080715
-16,-182,1478,240,49,7,6,9.975,-4.592,11.63891838,2.207365824
28,-181,1725,247,49,6,118,9.947,-4.773,11.41397668,1.044901634
74,-167,1987,262,12,5,21,9.873,-4.94,11.16806408,-0.110630577
115,-142,2254,267,12,5,21,9.758,-5.082,11.07719464,-0.2591662375
-151,103,2541,287,5,6,22,9.909,-4.979,11.60745727,0.7755845128
174,-55,2836,295,3,116,83,9.735,-5.034,43.46082261,105.9550485
0,0,3131,295,5,47,104,9.735,-5.034,23.39977296,39.93570069
180,29,3302,171,5,47,104,9.555,-5.005,17.55288891,41.30950931
354,94,3402,100,116,83,104,9.201,-4.911,17.48717358,77.67434572
175,54,3442,40,20,83,106,9.026,-4.857,12.34511474,78.07660885
174,57,3458,16,20,83,106,8.852,-4.8,10.17994334,78.18937623
174,57,3458,0,21,84,104,8.678,-4.743,8.678,79.257
174,54,3446,-12,44,83,101,8.504,-4.689,7.508023904,78.30502407
175,51,3426,-20,44,83,101,8.329,-4.638,6.669110664,78.34540055
353,97,3410,-16,42,99,100,7.976,-4.541,6.392067583,94.44632827
178,42,3378,-32,40,80,98,7.798,-4.499,5.238436884,75.4600435
178,39,3358,-20,40,80,98,7.62,-4.46,6.020106665,75.52400053
179,34,3330,-28,39,76,95,7.441,-4.426,5.313278048,71.54420995
361,58,3302,-28,38,74,93,7.08,-4.368,5.008270731,69.6029939
181,25,3278,-24,38,74,93,6.899,-4.343,5.123170491,69.63568902
182,19,3250,-28,35,72,92,6.717,-4.324,4.701263414,67.64777784
182,14,3222,-28,34,68,90,6.535,-4.31,4.63124878,63.66334574
365,21,3199,-23,34,65,88,6.17,-4.289,4.675131806,60.69380826
366,10,3171,-28,34,65,88,5.804,-4.279,3.984237804,60.69552166
183,0,3143,-28,67,64,85,5.621,-4.279,3.829234145,59.69591364
