Timestamp,Calbration Flag,ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z,GYR_X,GYR_Y,GYR_Z,YAW,PITCH,ROLL,QUAT_0,QUAT_1,QUAT_2,QUAT_3,GRA_X,GRA_Y,GRA_Z,LIN_X,LIN_Y,LIN_Z,LDR1,LDR2,LDR3,LDR4,LDR5,LDR6,US_1,US_2,US_3,US_4,US_5
1641000,1,420,-1750,-3430,-34,-70,1010,-133,-136,6,76.698219,-2.016343,-3.988183,-0.016374,-0.035377,0.619500,0.784029,0.035185,-0.069508,0.996961,0.001185,0.000492,-0.013039,68,88,33,60,243,29,160,174,173,174,0
1641008,1,420,-1750,-3430,-36,-71,1011,-130,-129,1,76.698814,-2.017093,-3.989288,-0.016378,-0.035388,0.619503,0.784025,0.035198,-0.069527,0.996959,-0.000802,0.001473,-0.014041,64,81,30,55,225,28,160,174,173,174,0
1641016,1,350,-1680,-3430,-35,-70,1010,-133,-132,-1,76.699379,-2.014207,-3.989014,-0.016391,-0.035367,0.619508,0.784022,0.035147,-0.069522,0.996961,0.000147,0.000478,-0.013039,66,85,31,58,237,29,160,174,173,174,0
1641032,1,420,-1750,-3430,-36,-70,1011,-129,-124,3,76.700470,-2.013755,-3.989105,-0.016394,-0.035364,0.619516,0.784016,0.035139,-0.069524,0.996961,-0.000861,0.000476,-0.014039,68,88,32,60,243,29,160,174,173,174,0
1641040,1,420,-1750,-3360,-35,-70,1010,-129,-127,-1,76.700348,-2.014653,-3.990822,-0.016401,-0.035380,0.619514,0.784016,0.035155,-0.069554,0.996958,0.000155,0.000446,-0.013041,66,83,31,57,230,28,160,174,173,174,0
1641048,1,420,-1750,-3430,-36,-71,1010,-133,-129,3,76.701530,-2.015426,-3.989656,-0.016388,-0.035379,0.619522,0.784010,0.035169,-0.069533,0.996960,-0.000831,0.001467,-0.01304,65,82,30,57,232,28,160,174,173,174,0
1641056,1,420,-1750,-3360,-36,-71,1011,-136,-117,-4,76.700638,-2.014194,-3.988616,-0.016388,-0.035365,0.619517,0.784015,0.035147,-0.069515,0.996962,-0.000853,0.001485,-0.014038,68,88,32,60,243,29,160,174,173,174,0
1641064,1,420,-1750,-3360,-35,-71,1011,-130,-129,0,76.701225,-2.015106,-3.989855,-0.016392,-0.035378,0.619520,0.784012,0.035163,-0.069537,0.996960,0.000163,0.001463,-0.01404,66,83,31,57,230,28,160,174,173,174,0
1641072,1,420,-1750,-3430,-36,-71,1011,-130,-126,-6,76.701813,-2.015903,-3.990895,-0.016394,-0.035389,0.619524,0.784009,0.035177,-0.069555,0.996958,-0.000823,0.001445,-0.014042,66,83,31,58,234,28,160,174,173,174,0
1641088,1,420,-1750,-3430,-35,-71,1011,-130,-133,-12,76.702286,-2.015339,-3.992831,-0.016410,-0.035395,0.619526,0.784006,0.035167,-0.069589,0.996956,0.000167,0.001411,-0.014045,66,83,31,57,229,28,154,88,173,174,0
1641096,1,420,-1750,-3430,-36,-71,1011,-133,-126,4,76.702858,-2.016205,-3.994580,-0.016418,-0.035411,0.619529,0.784002,0.035182,-0.069619,0.996953,-0.000818,0.001381,-0.014047,65,83,31,57,233,28,154,88,173,174,0
1641104,1,350,-1750,-3360,-36,-70,1012,-141,-132,-4,76.702744,-2.014812,-3.996111,-0.016436,-0.035410,0.619529,0.784003,0.035158,-0.069646,0.996952,-0.000842,0.000354,-0.015048,69,88,32,60,243,30,154,88,173,174,0
1641112,1,420,-1750,-3360,-36,-71,1011,-129,-127,-4,76.703323,-2.015621,-3.996231,-0.016432,-0.035416,0.619532,0.784000,0.035172,-0.069648,0.996951,-0.000828,0.001352,-0.014049,65,82,30,56,226,28,154,88,173,174,0
1641120,1,420,-1750,-3360,-35,-71,1011,-130,-124,-6,76.703087,-2.016375,-3.995326,-0.016422,-0.035416,0.619531,0.784001,0.035185,-0.069632,0.996952,0.000185,0.001368,-0.014048,66,83,31,57,233,28,154,88,173,174,0
1641128,1,420,-1750,-3430,-36,-71,1010,-138,-136,-1,76.703659,-2.017122,-3.996150,-0.016423,-0.035426,0.619534,0.783998,0.035198,-0.069646,0.996951,-0.000802,0.001354,-0.013049,69,88,32,60,244,29,154,88,173,174,0
1641136,1,420,-1750,-3430,-36,-71,1011,-130,-129,0,76.703537,-2.015692,-3.996919,-0.016436,-0.035420,0.619533,0.783998,0.035173,-0.069660,0.996951,-0.000827,0.001340,-0.01405,65,82,30,56,227,28,154,88,173,174,0
1641144,1,420,-1750,-3360,-36,-71,1011,-129,-129,7,76.703407,-2.016591,-3.997811,-0.016437,-0.035431,0.619532,0.783999,0.035189,-0.069675,0.996949,-0.000811,0.001325,-0.014051,65,83,31,57,233,28,154,88,173,174,0
1641152,1,420,-1750,-3360,-36,-70,1011,-126,-133,3,76.703964,-2.017331,-3.998538,-0.016438,-0.035440,0.619535,0.783996,0.035202,-0.069688,0.996948,-0.000798,0.000312,-0.014052,69,87,32,60,240,29,154,88,173,174,0
1641160,1,420,-1820,-3360,-36,-72,1011,-138,-133,0,76.703773,-2.017390,-3.999212,-0.016443,-0.035444,0.619534,0.783997,0.035203,-0.069700,0.996947,-0.000797,0.002300,-0.014053,65,81,30,56,225,28,154,88,173,174,0
1641168,1,280,-1890,-3500,-50,-125,1013,-159,-136,-4,76.704887,-2.017329,-3.999117,-0.016442,-0.035443,0.619542,0.783991,0.035202,-0.069698,0.996947,-0.014798,0.055302,-0.016053,67,85,31,58,237,29,154,88,173,174,0
1641176,1,140,-2100,-5110,-94,-248,994,-159,-133,3,76.720718,-2.014136,-4.003974,-0.016488,-0.035450,0.619649,0.783904,0.035146,-0.069783,0.996943,-0.058854,0.178217,0.002943,68,86,32,58,236,29,154,88,173,174,0
1641192,1,210,-1260,-15260,-59,-213,1022,-109,-129,3,76.831688,-2.075720,-4.238175,-0.017720,-0.037154,0.620313,0.783274,0.036220,-0.073854,0.996611,-0.022780,0.139146,-0.025389,67,86,32,59,247,30,0,175,174,174,0
1641200,1,210,1050,-17850,-121,-246,984,-156,-127,7,76.934624,-2.094232,-4.254413,-0.017697,-0.037385,0.621004,0.782715,0.036543,-0.074136,0.996578,-0.084457,0.171864,0.012578,68,87,32,59,238,29,0,175,174,174,0
1641207,1,1750,2100,-23380,29,-256,1053,-144,-136,-3,77.109413,-2.097149,-4.249810,-0.017593,-0.037407,0.622198,0.781768,0.036594,-0.074056,0.996583,0.065594,0.181944,-0.056418,65,81,30,56,225,28,0,175,174,174,0
1641214,1,5460,1820,-18060,-21,-354,991,-135,-130,-4,79.533257,-2.097050,-4.160283,-0.016198,-0.037271,0.638623,0.768446,0.036592,-0.072498,0.996697,0.015592,0.281502,0.005697,67,86,32,59,240,29,0,175,174,174,0
1641221,1,3010,-3220,-15260,-21,-301,965,-136,-135,7,78.123390,-2.051393,-4.065164,-0.016262,-0.036237,0.629166,0.776255,0.035796,-0.070846,0.996845,0.014796,0.230154,0.031845,68,86,31,58,236,29,0,175,174,174,0
1641228,1,2730,-1890,-13510,-14,-137,1006,-141,-126,1,76.831657,-2.058948,-3.905884,-0.015540,-0.035241,0.620423,0.783321,0.035928,-0.068074,0.997033,0.021928,0.068926,-0.008967,64,80,30,56,225,28,0,175,174,174,0
1641242,1,-2100,-2450,-3640,68,-48,1023,-133,-130,-12,76.285889,-1.964166,-3.727702,-0.014996,-0.033558,0.616770,0.786285,0.034274,-0.064977,0.997298,0.102274,-0.016977,-0.025702,68,86,32,59,237,29,0,175,174,174,0
1641249,1,2170,7980,-3080,-19,-69,1140,-132,-139,-4,75.998047,-2.016202,-3.555346,-0.013615,-0.032953,0.614826,0.787856,0.035182,-0.061974,0.997458,0.016182,0.007026,-0.142543,65,81,30,55,225,28,0,175,174,174,0
1641256,1,4550,-2660,-5670,-58,-50,918,-129,-132,-6,75.628906,-1.844124,-3.371767,-0.013377,-0.030743,0.612388,0.789846,0.032180,-0.058784,0.997752,-0.025820,-0.008784,0.079752,68,86,31,59,240,29,0,175,174,174,0
