X,Y,Theta,Delta_Theta,US1,US2,US3,X_Global,Y_Global,,,US_2_X,US_3_Y
-16,182,4800,0,141,132,141,0.016,0.182,0,0,0,141
-13,182,4788,-12,138,133,140,0.029,0.364,0.013,0.182,-1.582961696,140.1719201
-13,182,4784,-4,139,131,140,0.042,0.546,0.026,0.364,-0.4979986027,140.36288
-13,182,4784,0,139,131,139,0.055,0.728,0.039,0.546,0.039,139.546
-22,365,4772,-12,138,130,139,0.077,1.093,0.061,0.911,-1.49896256,139.9009921
-8,183,4760,-12,138,130,139,0.085,1.276,0.069,1.094,-1.49096256,140.0839921
-7,183,4752,-8,137,131,135,0.092,1.459,0.076,1.277,-0.9719888214,136.27268
-6,183,4748,-4,136,128,134,0.098,1.642,0.082,1.46,-0.4299986347,135.458928
-4,366,4724,-24,134,127,132,0.102,2.008,0.086,1.826,-2.9617074,133.7879858
0,183,4708,-16,134,124,130,0.102,2.191,0.086,2.009,-1.89791535,131.9923604
10,366,4685,-23,134,124,130,0.092,2.557,0.076,2.375,-2.775748555,132.3406165
10,182,4657,-28,132,122,129,0.082,2.739,0.066,2.557,-3.34955366,131.5064353
28,365,4633,-24,131,120,124,0.054,3.104,0.038,2.922,-2.841723528,126.8862897
34,364,4617,-16,131,120,124,0.02,3.468,0.004,3.286,-1.915918081,127.2701283
20,182,4601,-16,127,117,121,0,3.65,-0.016,3.468,-1.887920129,124.4525123
23,181,4585,-16,125,115,116,-0.023,3.831,-0.039,3.649,-1.878921494,119.6341523
25,181,4573,-12,123,113,83,-0.048,4.012,-0.064,3.83,-1.419967456,86.82402407
84,543,4557,-16,123,113,83,-0.132,4.555,-0.148,4.373,-1.95592286,87.36237623
99,540,4529,-28,52,111,112,-0.231,5.095,-0.247,4.913,-3.354593904,116.8690989
73,359,4509,-20,51,107,108,-0.304,5.454,-0.32,5.272,-2.459857336,113.2504007
41,178,4485,-24,51,107,108,-0.345,5.632,-0.361,5.45,-2.928753479,113.4188975
90,355,4461,-24,50,105,105,-0.435,5.987,-0.451,5.805,-2.970758087,110.7747615
47,176,4450,-11,48,103,82,-0.482,6.163,-0.498,5.981,-1.630977151,87.97603905
103,351,4426,-24,48,103,82,-0.585,6.514,-0.601,6.332,-3.072762695,88.30838513
